FECHA;YEAR;TRM 
4/01/2012;2012;1915.02
5/01/2012;2012;1898.24
6/01/2012;2012;1884.44
7/01/2012;2012;1884.47
11/01/2012;2012;1865.07
12/01/2012;2012;1854.17
13/01/2012;2012;1842.47
14/01/2012;2012;1841.31
18/01/2012;2012;1836.34
19/01/2012;2012;1827.24
20/01/2012;2012;1821.86
21/01/2012;2012;1828.75
24/01/2012;2012;1811.55
25/01/2012;2012;1814.58
26/01/2012;2012;1814.69
27/01/2012;2012;1801.88
28/01/2012;2012;1810.55
31/01/2012;2012;1815.08
1/02/2012;2012;1805.98
2/02/2012;2012;1797.68
3/02/2012;2012;1795.55
4/02/2012;2012;1784.77
7/02/2012;2012;1787.96
8/02/2012;2012;1783.34
9/02/2012;2012;1778.90
10/02/2012;2012;1774.96
11/02/2012;2012;1785.59
14/02/2012;2012;1778.12
15/02/2012;2012;1785.24
16/02/2012;2012;1791.29
17/02/2012;2012;1792.92
18/02/2012;2012;1779.81
22/02/2012;2012;1777.59
23/02/2012;2012;1781.57
24/02/2012;2012;1776.11
25/02/2012;2012;1772.42
28/02/2012;2012;1777.27
29/02/2012;2012;1767.83
1/03/2012;2012;1766.85
2/03/2012;2012;1770.70
3/03/2012;2012;1775.69
6/03/2012;2012;1774.03
7/03/2012;2012;1779.32
8/03/2012;2012;1773.88
9/03/2012;2012;1765.06
10/03/2012;2012;1762.08
13/03/2012;2012;1766.10
14/03/2012;2012;1760.77
15/03/2012;2012;1761.04
16/03/2012;2012;1761.02
17/03/2012;2012;1758.38
21/03/2012;2012;1759.78
22/03/2012;2012;1758.03
23/03/2012;2012;1761.87
24/03/2012;2012;1760.17
27/03/2012;2012;1759.58
28/03/2012;2012;1762.93
29/03/2012;2012;1771.25
30/03/2012;2012;1784.66
31/03/2012;2012;1792.07
3/04/2012;2012;1779.13
4/04/2012;2012;1767.84
5/04/2012;2012;1772.58
10/04/2012;2012;1779.53
11/04/2012;2012;1793.30
12/04/2012;2012;1787.66
13/04/2012;2012;1778.78
14/04/2012;2012;1777.12
17/04/2012;2012;1775.67
18/04/2012;2012;1769.07
19/04/2012;2012;1774.21
20/04/2012;2012;1776.06
21/04/2012;2012;1771.13
24/04/2012;2012;1774.44
25/04/2012;2012;1767.91
26/04/2012;2012;1763.85
27/04/2012;2012;1764.63
28/04/2012;2012;1761.20
1/05/2012;2012;1764.00
3/05/2012;2012;1760.12
4/05/2012;2012;1754.89
5/05/2012;2012;1757.24
8/05/2012;2012;1759.12
9/05/2012;2012;1760.60
10/05/2012;2012;1775.96
11/05/2012;2012;1765.00
12/05/2012;2012;1764.69
15/05/2012;2012;1771.60
16/05/2012;2012;1778.37
17/05/2012;2012;1793.61
18/05/2012;2012;1804.92
19/05/2012;2012;1814.46
23/05/2012;2012;1824.73
24/05/2012;2012;1845.17
25/05/2012;2012;1836.45
26/05/2012;2012;1840.69
30/05/2012;2012;1818.82
31/05/2012;2012;1827.83
1/06/2012;2012;1833.80
2/06/2012;2012;1834.71
5/06/2012;2012;1815.54
6/06/2012;2012;1798.85
7/06/2012;2012;1782.89
8/06/2012;2012;1766.91
9/06/2012;2012;1776.26
13/06/2012;2012;1776.47
14/06/2012;2012;1783.45
15/06/2012;2012;1787.63
16/06/2012;2012;1786.21
20/06/2012;2012;1773.18
21/06/2012;2012;1770.38
22/06/2012;2012;1775.99
23/06/2012;2012;1787.47
26/06/2012;2012;1803.37
27/06/2012;2012;1805.14
28/06/2012;2012;1796.18
29/06/2012;2012;1805.60
30/06/2012;2012;1784.60
4/07/2012;2012;1771.53
6/07/2012;2012;1774.37
7/07/2012;2012;1785.25
10/07/2012;2012;1790.25
11/07/2012;2012;1785.06
12/07/2012;2012;1787.72
13/07/2012;2012;1790.12
14/07/2012;2012;1780.21
17/07/2012;2012;1778.42
18/07/2012;2012;1778.97
19/07/2012;2012;1778.28
20/07/2012;2012;1775.80
24/07/2012;2012;1790.39
25/07/2012;2012;1797.33
26/07/2012;2012;1799.48
27/07/2012;2012;1789.22
28/07/2012;2012;1791.12
31/07/2012;2012;1789.02
1/08/2012;2012;1790.74
2/08/2012;2012;1787.51
3/08/2012;2012;1790.97
4/08/2012;2012;1786.06
7/08/2012;2012;1785.29
9/08/2012;2012;1788.03
10/08/2012;2012;1788.08
11/08/2012;2012;1791.61
14/08/2012;2012;1792.86
15/08/2012;2012;1800.81
16/08/2012;2012;1817.18
17/08/2012;2012;1825.52
18/08/2012;2012;1822.59
22/08/2012;2012;1815.80
23/08/2012;2012;1812.88
24/08/2012;2012;1808.33
25/08/2012;2012;1814.83
28/08/2012;2012;1821.44
29/08/2012;2012;1828.99
30/08/2012;2012;1833.14
31/08/2012;2012;1830.50
1/09/2012;2012;1825.21
5/09/2012;2012;1824.81
6/09/2012;2012;1814.06
7/09/2012;2012;1804.09
8/09/2012;2012;1797.35
11/09/2012;2012;1802.23
12/09/2012;2012;1795.40
13/09/2012;2012;1802.22
14/09/2012;2012;1799.57
15/09/2012;2012;1789.54
18/09/2012;2012;1799.77
19/09/2012;2012;1800.19
20/09/2012;2012;1795.66
21/09/2012;2012;1798.98
22/09/2012;2012;1796.75
25/09/2012;2012;1799.29
