"date";"pronostico2018"
"1";2018-01-01;8.461
"2";2018-01-02;470.835
"3";2018-01-03;638.69
"4";2018-01-04;679.831
"5";2018-01-05;719.019
"6";2018-01-06;218.04
"7";2018-01-07;4.635
"8";2018-01-08;11.118
"9";2018-01-09;672.575
"10";2018-01-10;794.59
"11";2018-01-11;776.84
"12";2018-01-12;805.589
"13";2018-01-13;242.692
"14";2018-01-14;4.967
"15";2018-01-15;534.294
"16";2018-01-16;659.525
"17";2018-01-17;778.943
"18";2018-01-18;735.433
"19";2018-01-19;813.15
"20";2018-01-20;260.531
"21";2018-01-21;4.651
"22";2018-01-22;550.052
"23";2018-01-23;718.409
"24";2018-01-24;744.313
"25";2018-01-25;865.821
"26";2018-01-26;930.86
"27";2018-01-27;272.794
"28";2018-01-28;6.139
"29";2018-01-29;815.378
"30";2018-01-30;1144.22
"31";2018-01-31;1040.27
"32";2018-02-01;727.386
"33";2018-02-02;730.616
"34";2018-02-03;247.34
"35";2018-02-04;5.293
"36";2018-02-05;606.586
"37";2018-02-06;802.242
"38";2018-02-07;952.243
"39";2018-02-08;955.781
"40";2018-02-09;1043.665
"41";2018-02-10;307.714
"42";2018-02-11;6.049
"43";2018-02-12;679.62
"44";2018-02-13;892.947
"45";2018-02-14;1020.348
"46";2018-02-15;989.459
"47";2018-02-16;1023.413
"48";2018-02-17;301.655
"49";2018-02-18;5.726
"50";2018-02-19;685.998
"51";2018-02-20;958.581
"52";2018-02-21;955.548
"53";2018-02-22;1018.642
"54";2018-02-23;1114.786
"55";2018-02-24;288.244
"56";2018-02-25;6.741
"57";2018-02-26;785.303
"58";2018-02-27;1003.701
"59";2018-02-28;1261.218
"60";2018-03-01;752.993
"61";2018-03-02;756.336
"62";2018-03-03;256.047
"63";2018-03-04;5.48
"64";2018-03-05;627.941
"65";2018-03-06;830.484
"66";2018-03-07;985.766
"67";2018-03-08;989.429
"68";2018-03-09;1080.406
"69";2018-03-10;318.547
"70";2018-03-11;6.262
"71";2018-03-12;703.545
"72";2018-03-13;924.383
"73";2018-03-14;1056.269
"74";2018-03-15;1024.293
"75";2018-03-16;1059.442
"76";2018-03-17;312.274
"77";2018-03-18;5.928
"78";2018-03-19;15.298
"79";2018-03-20;992.327
"80";2018-03-21;989.188
"81";2018-03-22;1054.502
"82";2018-03-23;1154.031
"83";2018-03-24;298.391
"84";2018-03-25;1.607
"85";2018-03-26;812.949
"86";2018-03-27;1039.035
"87";2018-03-28;1305.619
"88";2018-03-29;359.91
"89";2018-03-30;423.201
"90";2018-03-31;417.039
"91";2018-04-01;1.078
"92";2018-04-02;509.385
"93";2018-04-03;752.089
"94";2018-04-04;898.715
"95";2018-04-05;928.358
"96";2018-04-06;1028.798
"97";2018-04-07;304.759
"98";2018-04-08;6.15
"99";2018-04-09;727.643
"100";2018-04-10;935.669
"101";2018-04-11;1026.959
"102";2018-04-12;1040.133
"103";2018-04-13;1145.119
"104";2018-04-14;326.556
"105";2018-04-15;6.367
"106";2018-04-16;713.524
"107";2018-04-17;917.243
"108";2018-04-18;972.22
"109";2018-04-19;1049.895
"110";2018-04-20;1229.288
"111";2018-04-21;305.817
"112";2018-04-22;6.555
"113";2018-04-23;777.229
"114";2018-04-24;876.466
"115";2018-04-25;1144.59
"116";2018-04-26;1201.877
"117";2018-04-27;1287.15
"118";2018-04-28;403.645
"119";2018-04-29;9.716
"120";2018-04-30;1237.904
"121";2018-05-01;13.137
"122";2018-05-02;671.643
"123";2018-05-03;811.554
"124";2018-05-04;884.452
"125";2018-05-05;255.973
"126";2018-05-06;5.57
"127";2018-05-07;653.367
"128";2018-05-08;801.331
"129";2018-05-09;959.424
"130";2018-05-10;1009.649
"131";2018-05-11;1010.659
"132";2018-05-12;286.792
"133";2018-05-13;6.2
"134";2018-05-14;15.082
"135";2018-05-15;829.567
"136";2018-05-16;940.808
"137";2018-05-17;989.767
"138";2018-05-18;956.789
"139";2018-05-19;289.484
"140";2018-05-20;6.656
"141";2018-05-21;655.635
"142";2018-05-22;854.033
"143";2018-05-23;1024.805
"144";2018-05-24;945.765
"145";2018-05-25;1126.423
"146";2018-05-26;331.389
"147";2018-05-27;6.969
"148";2018-05-28;865.366
"149";2018-05-29;1265.99
"150";2018-05-30;1632.222
"151";2018-05-31;1321.823
"152";2018-06-01;771.404
"153";2018-06-02;212.025
"154";2018-06-03;5.151
"155";2018-06-04;13.103
"156";2018-06-05;767.728
"157";2018-06-06;932.864
"158";2018-06-07;986.322
"159";2018-06-08;1013.621
"160";2018-06-09;302.872
"161";2018-06-10;6.408
"162";2018-06-11;14.972
"163";2018-06-12;860.163
"164";2018-06-13;1038.339
"165";2018-06-14;1056.864
"166";2018-06-15;1049.337
"167";2018-06-16;296.995
"168";2018-06-17;6.282
"169";2018-06-18;657.979
"170";2018-06-19;868.236
"171";2018-06-20;1114.659
"172";2018-06-21;989.745
"173";2018-06-22;1080.285
"174";2018-06-23;323.511
"175";2018-06-24;6.003
"176";2018-06-25;774.636
"177";2018-06-26;993.921
"178";2018-06-27;1167.125
"179";2018-06-28;1306.355
"180";2018-06-29;1601.378
"181";2018-06-30;511.56
