"date";"pronostico";"Unidades"
"1";2012-01-01;0.09;0
"2";2012-01-02;456.886;188
"3";2012-01-03;674.575;482
"4";2012-01-04;806.09;927
"5";2012-01-05;832.677;1159
"6";2012-01-06;922.765;996
"7";2012-01-07;273.35;243
"8";2012-01-08;5.516;0
"9";2012-01-09;14.06;0
"10";2012-01-10;839.235;697
"11";2012-01-11;921.116;956
"12";2012-01-12;932.932;1001
"13";2012-01-13;1027.098;1170
"14";2012-01-14;292.9;372
"15";2012-01-15;5.711;1
"16";2012-01-16;639.985;805
"17";2012-01-17;822.708;913
"18";2012-01-18;872.018;1049
"19";2012-01-19;941.688;979
"20";2012-01-20;1102.592;1018
"21";2012-01-21;274.298;312
"22";2012-01-22;5.879;0
"23";2012-01-23;697.124;802
"24";2012-01-24;786.133;893
"25";2012-01-25;1026.623;1030
"26";2012-01-26;1078.006;1108
"27";2012-01-27;1154.49;1049
"28";2012-01-28;362.043;369
"29";2012-01-29;8.715;2
"30";2012-01-30;1110.32;823
"31";2012-01-31;1098.718;1046
"32";2012-02-01;865.843;1142
"33";2012-02-02;849.41;1185
"34";2012-02-03;1050.853;1295
"35";2012-02-04;313.386;344
"36";2012-02-05;6.509;0
"37";2012-02-06;781.512;853
"38";2012-02-07;1009.671;1170
"39";2012-02-08;1137.714;1177
"40";2012-02-09;1213.359;1182
"41";2012-02-10;1307.36;1191
"42";2012-02-11;358.105;411
"43";2012-02-12;7.292;1
"44";2012-02-13;869.874;881
"45";2012-02-14;1081.883;1120
"46";2012-02-15;1177.802;1126
"47";2012-02-16;1189.815;1098
"48";2012-02-17;1281.615;1243
"49";2012-02-18;339.017;309
"50";2012-02-19;7.361;0
"51";2012-02-20;933.812;733
"52";2012-02-21;1013.175;994
"53";2012-02-22;1212.539;1186
"54";2012-02-23;1296.045;1247
"55";2012-02-24;1224.638;1315
"56";2012-02-25;399.123;386
"57";2012-02-26;8.426;0
"58";2012-02-27;977.765;855
"59";2012-02-28;1337.28;1239
"60";2012-02-29;1790.44;1157
"61";2012-03-01;893.13;1201
"62";2012-03-02;897.096;1342
"63";2012-03-03;303.7;358
"64";2012-03-04;6.499;0
"65";2012-03-05;744.805;886
"66";2012-03-06;985.043;1209
"67";2012-03-07;1169.224;1553
"68";2012-03-08;1173.569;1340
"69";2012-03-09;1281.477;1279
"70";2012-03-10;377.831;489
"71";2012-03-11;7.427;1
"72";2012-03-12;834.48;971
"73";2012-03-13;1096.417;1305
"74";2012-03-14;1252.847;1366
"75";2012-03-15;1214.921;1357
"76";2012-03-16;1256.612;1461
"77";2012-03-17;370.39;339
"78";2012-03-18;7.031;0
"79";2012-03-19;18.145;0
"80";2012-03-20;1177.006;937
"81";2012-03-21;1173.282;1247
"82";2012-03-22;1250.752;1332
"83";2012-03-23;1368.804;1479
"84";2012-03-24;353.924;139
"85";2012-03-25;8.278;32
"86";2012-03-26;964.244;1113
"87";2012-03-27;1232.407;1163
"88";2012-03-28;1548.603;1469
"89";2012-03-29;1854.074;1559
"90";2012-03-30;2180.115;1805
"91";2012-03-31;494.652;485
"92";2012-04-01;1.251;1
"93";2012-04-02;591.39;1128
